Segment,Country,Product,Discount_Band,Units_Sold,Manufacturing_Price,Sales_Price,Gross_Sales,Sales,COGS,Profit,Date,Month_Number, Month_Name ,Year
Government,Canada,Carretera, None ,1618.5,3,20,32370,32370,16185,16185,1/1/2014,1, January ,2014
Government,Germany,Carretera, None ,1321,3,20,26420,26420,13210,,1/1/2014,1, January ,2014
Midmarket,France,Carretera,,2178,,15,32670,32670,21780,10890,6/1/2014,6, June ,2014
Midmarket,Germany,Carretera, None ,888,3,15,13320,13320,8880,4440,6/1/2014,6, June ,2014
Midmarket,Mexico,Carretera, None ,2470,3,15,37050,37050,24700,12350,6/1/2014,6, June ,2014
Government,Germany,Carretera, None ,1513,3,350,529550,529550,393380,136170,12/1/2014,12, December ,2014
Midmarket,Germany,Montana, None ,921,5,15,13815,13815,9210,4605,3/1/2014,3, March ,2014
Channel Partners,Canada,, None ,2518,5,12,30216,30216,7554,22662,6/1/2014,6, June ,2014
Government,France,Montana, None ,1899,5,20,37980,37980,18990,18990,6/1/2014,6, June ,2014
Channel Partners,Germany,Montana, None ,1545,,12,18540,18540,4635,13905,6/1/2014,6, June ,2014
Midmarket,Mexico,Montana, None ,2470,5,15,37050,37050,24700,12350,6/1/2014,6, June ,2014
Enterprise,Canada,Montana, None ,2665.5,5,125,333187.5,333187.5,319860,13327.5,7/1/2014,7, July ,2014
Small Business,Mexico,Montana,,958,5,300,287400,287400,239500,47900,,8, August ,2014
Government,Germany,Montana, None ,2146,5,7,15022,15022,10730,4292,9/1/2014,9, September ,2014
Enterprise,Canada,Montana, None ,345,5,125,43125,43125,41400,1725,10/1/2013,10, October ,2013
Midmarket,United States of America,Montana, None ,615,5,15,9225,9225,6150,,12/1/2014,12, December ,2014
Government,Canada,Paseo, None ,292,10,20,5840,5840,2920,2920,2/1/2014,2, February ,2014
Midmarket,Mexico,Paseo, None ,974,10,15,14610,14610,9740,4870,2/1/2014,2, February ,2014
Channel Partners,Canada,Paseo, None ,2518,10,12,30216,30216,7554,22662,6/1/2014,6, June ,2014
Government,Germany,, None ,1006,10,350,352100,352100,261560,90540,6/1/2014,6, June ,2014
